Category,level_1,Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
General,37,38,Virgil Van Dijk,347,330,95,0,0,1,1,100,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,38,39,Declan Rice,340,312,92,40,38,2,12,50,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,39,40,Renato Veiga,336,320,95,0,0,1,4,50,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,40,41,Rodrigo De Paul,327,300,92,13,38,2,9,67,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,41,42,Issa Diop,326,299,92,0,0,0,3,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,42,43,Remo Freuler,324,299,92,5,20,0,7,71,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,43,44,Azzedine Ounahi,315,281,89,6,33,8,17,65,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,44,44,William Saliba,315,307,97,0,0,1,1,0,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,45,46,Unai Simon,314,253,81,0,0,0,5,20,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,46,47,Torbjorn Heggem,301,282,94,0,0,1,4,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,47,48,Tim Ream,298,281,94,0,0,2,6,33,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,48,49,Pedro Vite,297,269,91,7,43,1,9,56,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,49,49,Ousmane Dembele,297,236,79,36,17,9,29,62,6,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,0,1,Michael Olise,,,,,,,,,,,7,5,20,0,10,10,0,2.34,0x,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,1,2,Martin Odegaard,,,,,,,,,,,4,3,9,0,5,4,0,0.72,0x,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,2,2,Kylian Mbappe,,,,,,,,,,,4,23,41,24,27,14,0,6.54,1.53x,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,3,2,Brahim Diaz,,,,,,,,,,,4,1,6,0,4,2,0,0.31,0x,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,4,2,Bruno Guimaraes,,,,,,,,,,,4,2,8,0,5,3,1,1.02,0x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,5,2,Lionel Messi,,,,,,,,,,,4,19,35,23,16,19,0,6.18,1.29x,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,6,7,Roberto Alvarado,,,,,,,,,,,3,0,5,0,2,3,0,0.28,0x,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,7,7,Anthony Gordon,,,,,,,,,,,3,4,6,17,6,0,2,0.7,1.43x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,8,7,Florian Wirtz,,,,,,,,,,,3,1,10,0,5,5,0,0.97,0x,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,9,7,Andreas Schjelderup,,,,,,,,,,,3,2,3,33,3,0,0,0.2,5.12x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,10,7,Bukayo Saka,,,,,,,,,,,3,7,13,23,11,2,1,1.72,1.74x,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,11,7,Alexander Isak,,,,,,,,,,,3,6,8,13,5,3,1,0.68,1.48x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,12,13,Chris Wood,,,,,,,,,,,2,2,5,0,3,2,2,0.47,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,13,13,Johan Manzambi,,,,,,,,,,,2,3,6,50,4,2,0,0.63,4.73x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
