Category,level_1,Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Defending,11,2,Abduvohid Nematov,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,12,2,Cameron Burgess,,,,,,,,,,,,,,,,,,,,,1,2,14,9,,,,,,,,,,,,,,,,,,,,,,,
Defending,13,14,Lucas Bergvall,,,,,,,,,,,,,,,,,,,,,0,10,60,13,,,,,,,,,,,,,,,,,,,,,,,
Defending,14,14,Anthony Elanga,,,,,,,,,,,,,,,,,,,,,0,10,31,1,,,,,,,,,,,,,,,,,,,,,,,
Defending,15,14,Viktor Johansson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,16,14,Ross Stewart,,,,,,,,,,,,,,,,,,,,,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,17,14,Nishan Velupillay,,,,,,,,,,,,,,,,,,,,,0,1,57,4,,,,,,,,,,,,,,,,,,,,,,,
Defending,18,14,Paul Okon Engstler,,,,,,,,,,,,,,,,,,,,,0,9,78,5,,,,,,,,,,,,,,,,,,,,,,,
Defending,19,14,Lewis Ferguson,,,,,,,,,,,,,,,,,,,,,0,15,87,28,,,,,,,,,,,,,,,,,,,,,,,
Defending,20,14,Khojiakbar Alijonov,,,,,,,,,,,,,,,,,,,,,0,4,76,11,,,,,,,,,,,,,,,,,,,,,,,
Defending,21,14,Nestory Irankunda,,,,,,,,,,,,,,,,,,,,,0,13,116,3,,,,,,,,,,,,,,,,,,,,,,,
Defending,22,14,Mohamed Toure,,,,,,,,,,,,,,,,,,,,,0,3,86,5,,,,,,,,,,,,,,,,,,,,,,,
Defending,23,14,Sherzod Nasrullaev,,,,,,,,,,,,,,,,,,,,,0,5,42,9,,,,,,,,,,,,,,,,,,,,,,,
Defending,24,14,Jesper Karlstrom,,,,,,,,,,,,,,,,,,,,,0,7,38,7,,,,,,,,,,,,,,,,,,,,,,,
Defending,25,14,Gabriel Gudmundsson,,,,,,,,,,,,,,,,,,,,,0,13,58,14,,,,,,,,,,,,,,,,,,,,,,,
Defending,26,14,Lucas Herrington,,,,,,,,,,,,,,,,,,,,,0,4,11,4,,,,,,,,,,,,,,,,,,,,,,,
Defending,27,14,Cristian Volpato,,,,,,,,,,,,,,,,,,,,,0,11,64,4,,,,,,,,,,,,,,,,,,,,,,,
Defending,28,14,Carl Starfelt,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,29,14,Gustaf Lagerbielke,,,,,,,,,,,,,,,,,,,,,0,8,50,14,,,,,,,,,,,,,,,,,,,,,,,
Defending,30,14,Alessandro Circati,,,,,,,,,,,,,,,,,,,,,0,12,48,28,,,,,,,,,,,,,,,,,,,,,,,
Defending,31,14,Nikola Vasilj,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,32,14,Tete Yengi,,,,,,,,,,,,,,,,,,,,,0,1,17,2,,,,,,,,,,,,,,,,,,,,,,,
Defending,33,14,Oston Urunov,,,,,,,,,,,,,,,,,,,,,0,4,41,1,,,,,,,,,,,,,,,,,,,,,,,
Defending,34,14,Connor Metcalfe,,,,,,,,,,,,,,,,,,,,,0,28,180,11,,,,,,,,,,,,,,,,,,,,,,,
Defending,35,14,Michael Boxall,,,,,,,,,,,,,,,,,,,,,0,4,21,12,,,,,,,,,,,,,,,,,,,,,,,
Defending,36,14,Abdulla Abdullaev,,,,,,,,,,,,,,,,,,,,,0,7,22,7,,,,,,,,,,,,,,,,,,,,,,,
Defending,37,14,Isak Hien,,,,,,,,,,,,,,,,,,,,,0,13,13,8,,,,,,,,,,,,,,,,,,,,,,,
Defending,38,14,Mattias Svanberg,,,,,,,,,,,,,,,,,,,,,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,
Defending,39,14,Scott Mckenna,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
Defending,40,14,Jacob Italiano,,,,,,,,,,,,,,,,,,,,,0,6,83,14,,,,,,,,,,,,,,,,,,,,,,,
Defending,41,14,Kosta Barbarouses,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,42,14,Harry Souttar,,,,,,,,,,,,,,,,,,,,,0,4,18,6,,,,,,,,,,,,,,,,,,,,,,,
Defending,43,14,Hjalmar Ekdal,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,44,14,Chris Wood,,,,,,,,,,,,,,,,,,,,,0,8,88,5,,,,,,,,,,,,,,,,,,,,,,,
Defending,45,14,Lawrence Shankland,,,,,,,,,,,,,,,,,,,,,0,4,61,9,,,,,,,,,,,,,,,,,,,,,,,
Defending,46,14,Behruzjon Karimov,,,,,,,,,,,,,,,,,,,,,0,5,55,7,,,,,,,,,,,,,,,,,,,,,,,
Defending,47,14,Alexander Isak,,,,,,,,,,,,,,,,,,,,,0,5,110,15,,,,,,,,,,,,,,,,,,,,,,,
Defending,48,14,Umar Eshmurodov,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,49,14,Dan Ndoye,,,,,,,,,,,,,,,,,,,,,0,32,141,20,,,,,,,,,,,,,,,,,,,,,,,
Discipline,0,1,Neil El Aynaoui,,,,,,,,,,,,,,,,,,,,,,,,,15,7,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,1,2,Andres Cubas,,,,,,,,,,,,,,,,,,,,,,,,,14,3,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,2,2,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,14,9,0,0,0,7,,,,,,,,,,,,,,,,,
Discipline,3,4,Alex Baena,,,,,,,,,,,,,,,,,,,,,,,,,13,8,1,0,0,2,,,,,,,,,,,,,,,,,
Discipline,4,4,Adrien Rabiot,,,,,,,,,,,,,,,,,,,,,,,,,13,4,1,0,0,1,,,,,,,,,,,,,,,,,
Discipline,5,4,Aleksandar Pavlovic,,,,,,,,,,,,,,,,,,,,,,,,,13,4,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,6,7,Nicolas Raskin,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,7,7,Enzo Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,12,6,2,1,1,1,,,,,,,,,,,,,,,,,
Discipline,8,9,Julian Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,11,4,0,0,0,2,,,,,,,,,,,,,,,,,
Discipline,9,9,Ermedin Demirovic,,,,,,,,,,,,,,,,,,,,,,,,,11,3,1,0,0,1,,,,,,,,,,,,,,,,,
Discipline,10,9,Ricardo Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,11,2,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,11,9,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,11,9,0,0,0,1,,,,,,,,,,,,,,,,,
Discipline,12,13,Pedro Porro,,,,,,,,,,,,,,,,,,,,,,,,,10,9,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,13,13,Richard Rios,,,,,,,,,,,,,,,,,,,,,,,,,10,4,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,14,13,Matias Galarza,,,,,,,,,,,,,,,,,,,,,,,,,10,9,2,0,0,0,,,,,,,,,,,,,,,,,
Discipline,15,16,Juan Jose Caceres,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,16,16,Leandro Paredes,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,0,0,0,,,,,,,,,,,,,,,,,
Discipline,17,16,Cristian Romero,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,0,0,0,,,,,,,,,,,,,,,,,
Discipline,18,16,Alexis Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,9,12,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,19,16,Nicolas Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,9,16,0,0,0,2,,,,,,,,,,,,,,,,,
Discipline,20,16,Daniel Munoz,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,0,0,3,,,,,,,,,,,,,,,,,
Discipline,21,16,Giuliano Simeone,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,0,0,1,,,,,,,,,,,,,,,,,
Discipline,22,16,Gustavo Puerta,,,,,,,,,,,,,,,,,,,,,,,,,9,8,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,23,16,Breel Embolo,,,,,,,,,,,,,,,,,,,,,,,,,9,11,2,1,1,4,,,,,,,,,,,,,,,,,
Discipline,24,16,Elliot Anderson,,,,,,,,,,,,,,,,,,,,,,,,,9,13,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,25,16,Jude Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,9,17,1,0,0,1,,,,,,,,,,,,,,,,,
Discipline,26,16,Brandon Mechele,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,27,16,Thomas Meunier,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,28,29,Harry Kane,,,,,,,,,,,,,,,,,,,,,,,,,8,9,0,0,0,2,,,,,,,,,,,,,,,,,
Discipline,29,29,Ezri Konsa,,,,,,,,,,,,,,,,,,,,,,,,,8,11,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,30,29,Lautaro Martinez,,,,,,,,,,,,,,,,,,,,,,,,,8,5,1,0,0,2,,,,,,,,,,,,,,,,,
Discipline,31,29,Chris Richards,,,,,,,,,,,,,,,,,,,,,,,,,8,3,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,32,29,Carlos Harvey,,,,,,,,,,,,,,,,,,,,,,,,,8,3,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,33,29,Weston Mckennie,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,34,29,Samuel Moutoussamy,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,35,29,Harry Souttar,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,36,29,Eldor Shomurodov,,,,,,,,,,,,,,,,,,,,,,,,,8,4,0,0,0,1,,,,,,,,,,,,,,,,,
Discipline,37,29,Remo Freuler,,,,,,,,,,,,,,,,,,,,,,,,,8,3,0,0,0,1,,,,,,,,,,,,,,,,,
Discipline,38,29,Marc Cucurella,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1,0,0,4,,,,,,,,,,,,,,,,,
Discipline,39,29,Behruzjon Karimov,,,,,,,,,,,,,,,,,,,,,,,,,8,4,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,40,29,Ismael Saibari,,,,,,,,,,,,,,,,,,,,,,,,,8,3,0,0,0,3,,,,,,,,,,,,,,,,,
Discipline,41,29,Luc De Fougerolles,,,,,,,,,,,,,,,,,,,,,,,,,8,8,2,0,0,0,,,,,,,,,,,,,,,,,
Discipline,42,29,Richie Laryea,,,,,,,,,,,,,,,,,,,,,,,,,8,13,1,0,0,1,,,,,,,,,,,,,,,,,
Discipline,43,29,Marawan Attia,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,0,0,0,,,,,,,,,,,,,,,,,
Discipline,44,45,Franck Kessie,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,0,0,1,,,,,,,,,,,,,,,,,
Discipline,45,45,Achraf Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,7,16,1,0,0,0,,,,,,,,,,,,,,,,,
Discipline,46,45,Jordan Ayew,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,0,0,1,,,,,,,,,,,,,,,,,
Discipline,47,45,Martin Experience,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,0,,,,,,,,,,,,,,,,,
Discipline,48,45,Caleb Yirenkyi,,,,,,,,,,,,,,,,,,,,,,,,,7,3,2,0,0,0,,,,,,,,,,,,,,,,,
Discipline,49,45,Kwasi Sibo,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0,0,0,0,,,,,,,,,,,,,,,,,
Goalkeeping,0,1,Orlando Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,141,124,,,,,,,,,,,,,,
Goalkeeping,1,2,Eloy Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,81,72,,,,,,,,,,,,,,
Goalkeeping,2,3,Emiliano Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,111,97,,,,,,,,,,,,,,
Goalkeeping,3,3,Gregor Kobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,100,88,,,,,,,,,,,,,,
Goalkeeping,4,3,Diogo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,114,93,,,,,,,,,,,,,,
Goalkeeping,5,6,Jordan Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,133,110,,,,,,,,,,,,,,
Goalkeeping,6,6,Yassine Bounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,112,91,,,,,,,,,,,,,,
Goalkeeping,7,8,Vozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,136,102,,,,,,,,,,,,,,
Goalkeeping,8,9,Zion Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,78,64,,,,,,,,,,,,,,
Goalkeeping,9,9,Mohammed Alowais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,86,78,,,,,,,,,,,,,,
Goalkeeping,10,9,Orjan Nyland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,107,93,,,,,,,,,,,,,,
Goalkeeping,11,9,Bart Verbruggen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,57,54,,,,,,,,,,,,,,
Goalkeeping,12,9,Thibaut Courtois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,110,90,,,,,,,,,,,,,,
Goalkeeping,13,14,Mahmoud Abunada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,124,103,,,,,,,,,,,,,,
Goalkeeping,14,15,Alireza Beiranvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,75,65,,,,,,,,,,,,,,
Goalkeeping,15,15,Lionel Mpasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,83,70,,,,,,,,,,,,,,
Goalkeeping,16,15,Mike Maignan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,108,86,,,,,,,,,,,,,,
Goalkeeping,17,15,Alexander Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,85,74,,,,,,,,,,,,,,
Goalkeeping,18,15,Alisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,67,59,,,,,,,,,,,,,,
Goalkeeping,19,20,Mostafa Shoubir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,119,105,,,,,,,,,,,,,,
Goalkeeping,20,20,Ronwen Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,72,59,,,,,,,,,,,,,,
Goalkeeping,21,20,Patrick Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,91,76,,,,,,,,,,,,,,
Goalkeeping,22,20,Unai Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,120,93,,,,,,,,,,,,,,
Goalkeeping,23,24,Johny Placide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,56,48,,,,,,,,,,,,,,
Goalkeeping,24,25,Dominik Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,80,68,,,,,,,,,,,,,,
Goalkeeping,25,25,Jacob Widell Zetterstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,54,46,,,,,,,,,,,,,,
Goalkeeping,26,25,Hernan Galindez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,68,63,,,,,,,,,,,,,,
Goalkeeping,27,28,Yahia Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,84,68,,,,,,,,,,,,,,
Goalkeeping,28,28,Kim Seunggyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,42,34,,,,,,,,,,,,,,
Goalkeeping,29,28,Max Crocombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,97,88,,,,,,,,,,,,,,
Goalkeeping,30,28,Matej Kovar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,60,52,,,,,,,,,,,,,,
Goalkeeping,31,32,Matt Freese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,58,48,,,,,,,,,,,,,,
Goalkeeping,32,33,Orlando Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,48,42,,,,,,,,,,,,,,
Goalkeeping,33,33,Angus Gunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,75,64,,,,,,,,,,,,,,
Goalkeeping,34,33,Luca Zidane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,34,32,,,,,,,,,,,,,,
Goalkeeping,35,36,Yazeed Abulaila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,70,56,,,,,,,,,,,,,,
Goalkeeping,36,36,Raul Rangel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,57,46,,,,,,,,,,,,,,
Goalkeeping,37,36,Edouard Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,34,25,,,,,,,,,,,,,,
Goalkeeping,38,36,Lawrence Ati Zigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,31,30,,,,,,,,,,,,,,
Goalkeeping,39,36,Benjamin Asare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,55,47,,,,,,,,,,,,,,
Goalkeeping,40,36,Ugurcan Cakir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,55,46,,,,,,,,,,,,,,
Goalkeeping,41,36,Nikola Vasilj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,92,70,,,,,,,,,,,,,,
Goalkeeping,42,43,Camilo Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,57,54,,,,,,,,,,,,,,
Goalkeeping,43,43,Jalal Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,51,45,,,,,,,,,,,,,,
Goalkeeping,44,43,Maxime Crepeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,49,40,,,,,,,,,,,,,,
Goalkeeping,45,43,Manuel Neuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,61,45,,,,,,,,,,,,,,
Goalkeeping,46,47,Dean Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26,22,,,,,,,,,,,,,,
Goalkeeping,47,47,Aymen Dahmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,51,44,,,,,,,,,,,,,,
Goalkeeping,48,49,Mory Diaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,53,45,,,,,,,,,,,,,,
Goalkeeping,49,49,Abduvohid Nematov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,55,44,,,,,,,,,,,,,,
Movement,0,1,Jude Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,130,258,97,367,118,12,93,183,580,,,,
Movement,1,2,Kylian Mbappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,191,163,77,282,149,29,165,184,626,,,,
Movement,2,3,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,5,122,287,291,123,2,41,258,1676,,,,
Movement,3,4,Marc Cucurella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,165,137,110,90,322,16,118,172,987,,,,
Movement,4,5,Enzo Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,51,128,195,226,148,4,81,159,1122,,,,
Movement,5,5,Elliot Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,21,84,269,271,103,2,15,188,975,,,,
Movement,6,7,Michael Olise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,75,199,91,234,131,9,140,228,952,,,,
Movement,7,8,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,45,146,172,277,86,5,65,180,1024,,,,
Movement,8,9,Bruno Guimaraes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,56,156,127,258,81,5,51,92,459,,,,
Movement,9,10,Daniel Munoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,135,109,94,53,285,8,38,52,461,,,,
Movement,10,11,Rodrigo De Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,34,162,141,146,191,4,43,111,712,,,,
Movement,11,12,Neil El Aynaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,37,99,198,250,84,1,25,154,918,,,,
Movement,12,13,Alex Baena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,151,138,43,180,152,13,141,102,554,,,,
Movement,13,14,Granit Xhaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,5,129,196,231,99,0,35,110,997,,,,
Movement,14,15,Martin Odegaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,29,173,127,212,117,5,99,132,789,,,,
Movement,15,16,Remo Freuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,43,138,147,228,100,3,34,105,694,,,,
Movement,16,17,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,119,164,34,119,198,33,224,188,740,,,,
Movement,17,17,Fabian Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,43,146,128,218,99,2,41,99,639,,,,
Movement,18,19,Azzedine Ounahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,51,144,121,177,139,2,81,126,683,,,,
Movement,19,20,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,89,175,50,248,66,4,79,112,537,,,,
Movement,20,21,Julian Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,111,118,70,189,110,3,116,120,494,,,,
Movement,21,22,Ismael Saibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,151,117,30,182,116,9,67,94,246,,,,
Movement,22,23,Luis Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,148,121,26,130,165,11,116,104,415,,,,
Movement,23,24,Mikel Oyarzabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,148,129,14,236,55,13,125,132,392,,,,
Movement,24,25,Declan Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,31,88,155,175,99,3,28,112,742,,,,
Movement,25,26,Alexis Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,50,97,122,206,63,4,58,195,933,,,,
Movement,26,27,Arda Guler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,40,122,106,157,111,6,46,89,455,,,,
Movement,27,28,Vinicius Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,104,130,29,113,150,17,93,111,397,,,,
Movement,28,29,Pedro Vite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,11,108,142,153,108,1,27,83,640,,,,
Movement,29,30,Gustavo Puerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,48,108,104,145,115,3,44,116,643,,,,
Movement,30,30,Weston Mckennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,94,125,41,139,121,14,84,138,497,,,,
Movement,31,32,Achraf Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,79,114,60,102,151,12,92,167,971,,,,
Movement,32,33,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,53,135,63,150,101,5,86,115,640,,,,
Movement,33,34,Youri Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,61,87,100,174,74,3,41,125,591,,,,
Movement,34,34,Julian Quinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,99,115,34,120,128,6,84,141,355,,,,
Movement,35,36,Lionel Messi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,59,121,65,157,88,5,151,191,899,,,,
Movement,36,36,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,108,54,83,101,144,9,62,71,750,,,,
Movement,37,36,Marawan Attia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,8,79,158,140,105,0,22,119,749,,,,
Movement,38,39,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,118,96,29,204,39,12,96,70,251,,,,
Movement,39,40,Emam Ashour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,49,128,64,114,127,5,50,85,471,,,,
Movement,40,41,Nahuel Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,86,89,61,50,186,6,46,104,572,,,,
Movement,41,41,Leandro Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,2,40,194,157,79,0,9,58,1154,,,,
Movement,42,43,Adrien Rabiot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,65,58,112,160,75,8,36,121,769,,,,
Movement,43,44,Kevin De Bruyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,76,96,51,126,97,6,61,86,446,,,,
Movement,44,45,Florian Wirtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,71,100,47,96,122,4,117,99,599,,,,
Movement,45,46,Pedro Porro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,58,96,61,52,163,9,69,139,896,,,,
Movement,46,47,Joao Neves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,52,74,88,158,56,2,40,107,558,,,,
Movement,47,48,Leandro Trossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,84,95,34,105,108,10,92,95,500,,,,
Movement,48,49,Desire Doue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,63,101,48,80,132,12,91,95,474,,,,
Movement,49,49,Daichi Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,19,92,101,134,78,0,34,52,436,,,,
